Area;S67:295 (Aged 16 and over : Total male );S67:296 (Aged 16 and over : Total female );S67:297 (Aged 16 and over : Irish speakers : male );S67:298 (Aged 16 and over : Irish speakers : female );S08:1 (Total males : Total Aged 16 and Over );S08:12 (Males Economically Active : Total Aged 16 and Over );S08:78 (Males EA unemployed : Total Aged 16 and Over );S08:111 (Males EI students : Total Aged 16 and Over );S08:155 (Total females : Total Aged 16 and Over );S08:166 (Females Economically Active : Total Aged 16 and Over );S08:232 (Females EA unemployed : Total Aged 16 and Over );S08:265 (Females EI students : Total Aged 16 and Over );S21:2 (All households : Total households );S21:3 (All households : Households with no car );S21:4 (All households : Households with 1 car );S21:5 (All households : Households with 2 cars );S21:6 (All households : Households with 3 or more cars )
Antrim;16,209;16,731;294;336;16,154;12,204;1,716;956;16,770;8,261;738;1,097;14,170;4,260;6,606;2,738;566
Ards;23,714;25,757;144;168;23,639;17,826;1,889;1,255;25,799;12,316;846;1,350;22,825;6,460;10,242;5,081;1,042
Armagh;18,315;19,058;797;828;18,314;13,081;2,436;1,333;19,061;8,456;865;1,558;15,746;3,938;7,859;3,273;676
Ballymena;20,795;22,210;253;306;20,838;15,401;1,951;1,272;22,165;10,316;840;1,392;19,158;5,351;9,156;3,870;781
Ballymoney;8,766;9,097;185;178;8,804;6,462;1,269;446;9,113;3,962;366;553;7,724;2,078;3,901;1,447;298
Banbridge;12,113;12,790;160;199;12,165;9,039;1,152;640;12,810;5,972;466;831;10,985;2,830;5,139;2,531;485
Belfast;97,281;116,422;3,508;4,244;97,076;67,421;16,796;5,628;116,218;51,096;7,181;6,034;107,424;57,659;37,712;10,206;1,847
Carrickfergus;11,872;12,972;52;62;11,890;9,013;1,196;639;12,994;6,490;546;659;11,868;3,808;5,537;2,194;329
Castlereagh;22,761;25,905;159;190;22,744;16,375;1,602;1,194;25,826;13,305;813;1,196;22,925;6,530;10,968;4,605;822
Coleraine;18,055;20,217;231;243;18,158;13,049;2,346;1,335;20,212;9,074;956;1,495;17,866;5,977;8,437;2,909;543
Cookstown;10,751;11,010;557;563;10,783;7,727;1,864;695;11,005;4,439;635;824;9,222;2,436;4,656;1,728;402
Craigavon;26,403;28,903;709;799;26,336;19,708;3,405;1,613;28,899;13,836;1,472;1,807;24,937;8,771;11,369;4,021;776
Derry;31,266;33,970;1,574;1,670;31,312;22,998;6,758;2,461;34,138;14,996;2,240;2,441;28,040;12,718;11,848;2,929;545
Down;20,496;21,513;719;791;20,455;14,936;2,221;1,437;21,375;9,858;851;1,552;18,062;4,951;8,503;3,836;772
Dungannon;15,751;16,430;1,131;1,261;15,724;11,239;2,737;1,130;16,340;6,677;787;1,481;13,689;3,718;6,817;2,578;576
Fermanagh;19,444;19,571;639;633;19,451;13,646;3,015;1,337;19,583;7,752;852;1,673;16,876;4,790;8,383;3,089;614
Larne;10,952;11,778;123;132;10,903;8,026;1,315;628;11,780;5,263;481;707;10,418;3,640;4,676;1,729;373
Limavady;10,540;10,267;224;253;10,594;8,190;2,045;635;10,308;4,523;570;721;8,482;2,643;4,262;1,331;246
Lisburn;35,220;37,844;689;756;35,202;26,844;3,729;2,088;37,924;18,393;1,731;2,206;33,285;10,208;14,702;6,965;1,410
Magherafelt;12,740;12,894;687;718;12,782;9,167;1,915;865;12,917;5,595;638;1,086;10,429;2,719;5,205;1,986;519
Moyle;5,313;5,485;182;196;5,327;3,670;942;359;5,521;2,112;308;433;4,719;1,625;2,290;669;135
Newry & Mourne;28,783;29,645;1,493;1,525;28,791;20,853;5,426;1,983;29,715;11,954;1,745;2,348;24,372;7,773;11,878;3,902;819
Newtownabbey;26,783;29,689;210;245;26,693;20,211;2,605;1,546;29,737;15,189;1,253;1,635;26,498;8,674;12,309;4,807;708
North Down;25,958;29,720;170;214;26,004;18,790;1,579;1,830;29,718;13,794;891;1,901;26,630;6,953;12,381;6,279;1,017
Omagh;16,175;16,040;681;701;16,027;11,393;2,446;1,190;16,086;6,749;863;1,453;13,443;3,863;6,753;2,387;440
Strabane;12,634;12,868;369;404;12,617;9,044;2,752;826;12,921;5,088;797;956;10,756;3,961;5,043;1,447;305
;;;;;;;;;;;;;;;;;
